NAME,POS,TEAM,RTG,OPP,DEF_RTG,h/a,DK salary,DK points
COOPER KUPP,WR,LAR,99.0,TEN,0.336538461538467,home,9400,20.5
ALVIN KAMARA,RB,NO,92.0,ATL,1.5673076923077076,home,8200,20.4
DAVANTE ADAMS,WR,GB,91.0,KC,2.182692307692321,away,8200,10.2
JOSH ALLEN,QB,BUF,99.0,JAX,2.798076923076934,away,8200,12.56
CHRISTIAN MCCAFFREY,RB,CAR,90.0,NE,-0.8942307692307594,home,8000,14.6
JONATHAN TAYLOR,RB,IND,92.0,NYJ,2.182692307692321,home,7900,37.0
AUSTIN EKELER,RB,LAC,94.0,PHI,0.028846153846160405,away,7900,11.2
TYREEK HILL,WR,KC,92.0,GB,-1.201923076923066,home,7900,7.3
DEEBO SAMUEL,WR,SF,93.0,ARI,-3.663461538461533,home,7800,11.3
PATRICK MAHOMES,QB,KC,94.0,GB,-1.201923076923066,home,7800,10.44
NAJEE HARRIS,RB,PIT,93.0,CHI,0.336538461538467,home,7800,16.8
MATTHEW STAFFORD,QB,LAR,95.0,TEN,0.336538461538467,home,7700,15.06
DALVIN COOK,RB,MIN,86.0,BAL,0.9519230769230802,away,7700,18.2
STEFON DIGGS,WR,BUF,84.0,JAX,2.798076923076934,away,7700,14.5
JA'MARR CHASE,WR,CIN,90.0,CLE,-1.5096153846153726,home,7600,9.9
AJ BROWN,WR,TEN,84.0,LAR,-0.5865384615384528,away,7500,9.2
JUSTIN JEFFERSON,WR,MIN,86.0,BAL,0.9519230769230802,away,7500,17.0
LAMAR JACKSON,QB,BAL,96.0,MIN,0.028846153846160405,home,7300,35.64
AARON JONES,RB,GB,89.0,KC,2.182692307692321,away,7200,5.3
CEEDEE LAMB,WR,DAL,88.0,DEN,-2.740384615384599,home,7200,4.3
MIKE WILLIAMS,WR,LAC,87.0,PHI,0.028846153846160405,away,7100,7.8
JOE MIXON,RB,CIN,87.0,CLE,-1.5096153846153726,home,7100,28.0
JUSTIN HERBERT,QB,LAC,93.0,PHI,0.028846153846160405,away,7000,34.64
EZEKIEL ELLIOTT,RB,DAL,87.0,DEN,-2.740384615384599,home,7000,12.6
TRAVIS KELCE,TE,KC,99.0,GB,-1.201923076923066,home,7000,17.8
DAK PRESCOTT,QB,DAL,94.0,DEN,-2.740384615384599,home,6900,19.88
ADAM THIELEN,WR,MIN,87.0,BAL,0.9519230769230802,away,6900,8.6
DARRELL HENDERSON,RB,LAR,87.0,TEN,0.336538461538467,home,6900,8.8
JOE BURROW,QB,CIN,91.0,CLE,-1.5096153846153726,home,6800,9.38
JALEN HURTS,QB,PHI,94.0,LAC,0.336538461538467,home,6700,16.68
KEENAN ALLEN,WR,LAC,83.0,PHI,0.028846153846160405,away,6700,25.4
